People,Comments
dont be toxic,"00:00:00 Introduction

00:01:49 Installing Python 3

00:06:10 Your First Python Program

00:08:11 How Python Code Gets Executed"
Benson Isaac,"Great content, sir. As I practicing with the guessing game I turned it into a more entertaining game by importing the random module, so that the it'd be a lil hard to guess. Here's my code

import random"
Trọng Hồ,This course is extremely useful even though it has been published for more than 3 years. Thanks a lot. You did a great job!
Blender Graphics,"Absolutely fantastic, clean knowledge ! Great !"
19-536 Shiva prasad,"You are awesome sirr! 
U r doing a great things to let us up in coding .."
madhusudhan,thank you Mosh for the Crisp and Precise detailing on Pyhton topics..
Glyph-X,"TABLE OF CONTENT



00:00:00 Introduction

00:01:49 Installing Python 3"
Oscar Pulido,Muchas gracias! This was a really useful tutorial to be a starting point.
The Soul Crisis,Thank YOU for this beautiful Python development session laid out so well and organically! I am following along with this to sharpen my coding and Python skills for a web development position I have now (haven't worked in Python much).
Raphaela Recanelli,"Hi, Mosh!!
I gotta tell ya I'm new here and I just got in love with your channel.

It's incrarably fantastic. 
I was very desanimated studying Python because all the tutorials are so lam but now I'm all chereed up again to keep learning with you"
Deniz Tuna YILDIZ,i owe you so much mosh thank you for this awesome tutorial. You made me overcome my biggest misconception about coding. I will be a freshman about 2 months later in computer engineering and this course is really helping me to prepare for college
BitPalace,Thank you Mosh. I just bought your course on complete python mastery a few days ago. Really learning cool stuffs and I am happy. Hope to achieve my goals soon when I complete the course. Thanks once more and looking forward to learning more from you
Ethan,I can't even imagine how long it took to complete this video. Thanks a ton for your effort.
Jafran's Gameplays,"Thank you very much, Mr. Moshfegh Hamedani. I highly appreciate the work you've been putting for us, Sir!"
Random Tech,I never imagined I'd love taking a six-hour programming course! excellent man
I Skidhoo,Thank you for the amazing python tutorial! We Appreciate your time and the  effort to teach us coding
Lesego Hlongwane,"I've watched a few python videos and this is by far the best, thank you"
Finance Account,"Some of the best free Python content out there, hat's off to you Mosh. Thankyou"
Shamsad Jahan,"Honestly, this guy is incredible. He explains everything soo precisely and efficiently without any unnecessary information. Thanks a lot for this video. You made my life easier."
David Relich,Finally a Python (and basic Django) tutorial that actually made sense to me. Thanks so much! Will defo check those courses on your website and subscribe!
UnusualChair,"Mosh, thank you so much for this video. You're helping people including me learn programming free of charge. You're amazing."
Mega Puspita Pertiwi,You are blessed for sharing this knowledge. Thank you very much
keith chua,This guy is really giving us an opportunity to change not just our careers but also our lives. giving us new profitable knowledge. Thank you! Create more amazing videos for us!
mezack adu,"Hi Mosh, thank you for this tutorial. I am an undergraduate studying bachelor of Information security. my question is, what aspect of python would be good for my specialty as an information security undergraduate? I am looking forward to hearing your recommendations and suggestions."
Dont read my profile picture!,Can we just take a moment to appreciate all the efforts he puts in his videos?
Oscar Micheals,"29 million views and 857K likes as of Sep 27, 2022.  You made your goal... 22:30 .  Thank you for the awesome content.  Keep on being a great person."
Shiven Goel,"Hey Mosh I'm a young person and have learned a lot from this course, I am currently on the 4:00:00 mark and are at my first project! Thank you for all the help!"
Dahlia Gunawan,"Today is my second day and I'm 2 hours into the video. This course is a gem Mosh, thank you! I'll come back to this comment in 2 years. Let's see whether I have successfully changed my career by then (currently I'm a financial advisor)."
T R,about 100 minutes in and I'm enjoying this video a lot. easy explanations for the logic behind what we are doing
Dang It,he did all this hard work and sent it to the internet for free. and he doesn't get too much but what he gets is RESPECT and credit for bringing new aspiring programmers to earth
bdhskkajab bsbshhsbs,"This video is priceless ️️.
A million thanks to you Mosh"
Mark Angelo Resulto,Mosh you're amazing.  these information are priceless and its so easy to understand!!
Subramaniam Nanthakumar,No word to thank you Mosh. Excellent......superb
Rakesh Kumar Siriseti,"Hello Mosh, your course is fantastic and easy to understand for beginners like me. I am a Digital Marketer who has experience in Google Ads and Analytics. I'd like to know the applications/opportunities of python for Marketing or analytics."
zillaboop,"This man is important. We need more people like him. When I master something, I will teach it for free"
Thijs Bre,Never thought I would enjoy a 6 hour programming course! Really nice man!
nonitza,You're saving my degree. I'll think of you when I pass my bachelor. Thank you!
Pepe Gonzalez,"Nice tutorial mate, you help me a lot in my progress!!!"
arsenic,this is so helpful:))))))))))) thanks for the tutorial and the effort u put into this!!!
COMASPICE,"It'd be helpful to have the 15 second foward or backward button. Not sure why other videos have it and this one doesn't!

Otherwise, great tutorial! I learned so much. I made it up to the Pypi and Pip section. Looking forward to doing more projects and practice."
Chrs P,I am 50 mins into this and I can say this an excellent video. He is straight to the point and doesn't keep repeating statements. Moves at a good speed. I will 'walk' with him to the end . I would even give him a $ donation for his time to create this if there was a way.
JuSt LaUgH😂,"This guy is a legend. He is teaching python for free. 
Respect him.
Thank you sir!!!!"
Guruji,"Great course. I appreciate your time and effort in making this video available to everyone. I am an absolute beginner and benefitted a lot from this. 
I just had one finding from myself while watching this. That is from 1:20:44. When writing the code, when it is set to ""else"", then instead of ""k"", if we type anything, then also the computer will pick it up as ""k"" because we had not defined k."
ihtasham ali,I learned more here in 6 hours then I did in a whole module with the Open university thank you Mosh
Pakhi Joshi,"Mr. Mosh... you are a magician when it comes to teaching, hands down the best python tutorial for beginners out there."
Luke griffith,"Amazing Tutorial, only an hour and a half in and already have learned so much!"
Rahul Pandey,Hi Mosh-Thanks for sharing this nice python learning video! Really it is good video for me and those who are interested to learn python from scratch.
adidas3893,"To find this whole course freely available on YouTube is such a gift. Seriously, you cover a LOT of ground. Thank you for all your hard work on this!"
Mudassar Hayat,Can't thank enough.Excellent precise and to the point explaination.
junior castelao,"My massive thanks to you mosh .

You helped me the most ."
emely Ny,"I am forever grateful for this, thank you so much Mosh!"
KKC - Oyinkan Chekwas,"Hi Mosh thank you for your videos! Truly amazing. Please can you create a playlist for Data Science and Data Analytics (Beginner - Experienced)?
I would appreciate that. Thank you so much!"
Blaugrana Hut,"Awesome video ! So easy and detailed , best for beginners and even professionals can visit to clarify some doubts ! Please if someone still has  the cheatsheet can you send it ? the link in the description says the file was moved somewhere else ."
harmalauri,I'm learning so much more in this 6 hour YT video than on a whole four months university course on python. You show just the essentials in such a lucid manner that it's easy to follow and integrate everything you cover. Thank you so much for putting this out for free Mosh
Mariam Ahmed,"Hello Mosh, I just started your course. Thank you for this ️ I am learning Python because I want to become a QA tester. I will be happy if you reply my comment. I can’t wait to get into the course deeply"
Gokul Goku,Hats off to the efforts put on for making this video
Aditya Mishra,"man you're like amazing free 6hr tutorial cheat sheet exercise. 
thank you so much"
Tri3DCyber Tech,"Thanks Mosh for your tutorials. I love your tutorials. I'm learning Python for cyber security. I used to do 3D animation and I wished that I knew python for programming so that I can use it for 3D. Maybe once I know it well, I'll go back to the 3D industry again."
nyuydze louis,Mosh i really always enjoy your explicit nature of explaining this Python programming language. i really want to understand it better...
Mike Voyce,"As a retired teacher and lecturer, I admire Moshe's pace and pitch; really helpful"
Rohan Nair,"This course is amazing!
I just finished 1 hour of it and know some basics, but rn I am stuck on the 1:06 min point where the { } problem comes."
BONKERS,"Honestly, I wanted to learn python because I heard it was easy. I wanted to get into programming due to it admittedly looking like a way for me to become financially secure while working with computers, which is something that I found interesting but never truly considered pursuing until a few days ago."
Namaste 🙏,One of the best python tutorials on youtube...!! amazing work MOSH.
Yvonne Hunter,I love that you guys have these tutorials for free use on here.
Just Trim,"Dude, I'm less than 2 minutes in and I just want to say thank you so much for creating this absolute monster of a video. What an absolutely epic contribution to the world. Thank you!"
Zeus CODM,"amazing explanation and very interresting 
just finished string methods at 40:50"
John Bereber,"Today marks my first lesson of this. Like most of people here, I too am wanting a career with so many possible opportunities at this day and age and not be stagnant on a job that will get me nowhere. Here's to the future"
"Buhle, Freddy Nqavela",Everything is clearly explained thank you Mosh I am getting better.
Chetan Patteparapu,Would love to see a Machine Learning course from you Mosh
Prince Kelechi Kalu,I'm just about 22mins into the lecture and I'm like WOW. I'm just eager to seat tight althrough. Thanks  Boss
Jeremiah Nkwegu Ezeora,"Many thanks Mosh. You are a great teacher. I want to pursue a career in machine learning. I  have no knowledge of programming  before watching your video twice now. I wish to continue  with your classes. Once again, thank you"
Jared,I dont understand why some of the practice questions are harder than the examples you walk us through? Great video but the practice questions would always be more extra than what you taught
HaajPaaj,Tip (idk if this was said in the video): you can use the # symbol to make a note that isn't part of your code. I've been making these notes as I follow the tutorial.
BASE AND GROUNDS,"mosh, thanks for this tutorial. you are a very good teacher and a good encourager. my background is in construction but I am looking at having a career change in the tech world. I could eventually combine tech with construction in the future."
Aditi,"for people starting out

don't worry if you watched 5 minutes of his video and ended up practicing for 60 minutes. That's actually the most practical way to learn. Here is how i learn :"
Alej Random,I don't consider myself a beginner and still learned a lot from this. Thx man ♡
Ritu Hemadri,"I love this course so much, becz I am 14, wanting to learn Python and Mosh makes it so easy to learn for free!
My heart-felt gratitude to you, Mosh"
richard coughlan,You are a fantastic teacher! Thanks Mosh! I tried the Python for everyone (PY4E) course too - your videos are much better!
Zeeniya Faumy,"Man! , You are the one teacher, who I love to be taught. Your tutorials are very helpful"
yousra Mahmoud,Thank you.  Your course was a great help to me. I have already recommended it to others
,"Thanks for this tutorial. Awesome explanations perfect for beginners. Particularly loved the exercises, as they ensure that the concepts really stick with us because we put them into practice. I'm personally learning coding to create apps that help people learn biology and maths (my true areas of expertise). Would also love to understand machine learning as I believe that it can have a big impact on our world and our understanding of science."
Dar TV,After 2 weeks of learning this free tutorial I'm finally done  thank you so much for this opportunity  I learned so much and has gained an interest to learn more
Puck Sheet,The time spent here was not only 6 hours thank you man for this effort to  teach people for free
JFK Khan,"Hi Dear Mosh, 

Bundle of thanks, I am impressed with your teaching style, engaging, smooth, ease on mind, not sound like bore teaching, for beginners you are like hidden gems. I always recommend your course, because of ease and friendly."
Manoj Bhat,"you are a gem, i cannot thank you enough, I hope I'll get a better job after this! THANK YOU SO MUCH!!!

fyi, for beginners using Point and point may be a bit confusing, since only difference is case, so i suggest them to use different names for those."
Anthony Garcia,This video is legendary man. Thank you. As soon as I'm done here I'll buy your full course
welock,"Thank you very much. This is like a 9 week course crunched into six hours and its perfectly paced - no banter, no worthless filler, just quick to the point instructions & anecdotes. As a busy person, I have a LOT of respective for people who get to the point and don't waste time. I hope you don't mind I did use my code comments to describe the how in this case, just for my own learning notes lol."
RAKIYA AYENI OHUNENE,"I am an aspirant for this. I love your videos. And how you took your time to spend this. Computing is my dream, sadly I have no laptop. But am still watching this in case in the future I can ever get money to buy a laptop of my own
Thank you for this"
Rohit Koshy,"Lists (@2:01:10)
You can also find the highest number in a shorter way like this:

numbers = [3,6,2,8,4,10]"
Aleks se trudi,It took weeks for editing and a big part of his life for everything else. Thank you. Hope many will try to become a master and pay the small price for this.
Esaïe Oumara,I haven't understand the int function but the course is very detailed and i appreciate
Terry Willoughby,"What an amazing online course. Can't believe it's free! Just finished it having watched it in manageable chunks but I didn't do any of the exercises. I managed to download python and pycharm on my laptop and I will do this course again, watching on my tablet and then doing the exercises on the laptop."
Helen Omotayo,"I've always wanted to learn Python but I've been afraid...
Just 8mins into the video, I'm confident that I can learn it.
Thanks for simplifying this course. I'll surely recommend this course to anyone!
You just gained an additional subscriber!"
Ayan Dey,In the largest number program I just took the variable as 0 instead of list[0]
Ayomide Oshin,Thanks to MOSH for this wonderful video. It as really helped me in school and now i'm way ahead of my classmates in school
DreamZZZ,so glad i found this video. thankyou for being such an amazing teacher :)
Vantasia,"For the test where we needed to convert pounds into kilograms, instead of doing 
weight_lbs = input('Weight (lbs): ')

weight_kg = int(weight_lbs) * 0.45

print(weight_kg)"
Georgi Dimitrov,"As a Python user, I think this is amazing. The ease and conciseness with which Mosh goes through the tutorials not only shows his incredible understanding and deep knowledge of programming in general, but a big talent for teaching as well. This would always be my first pick if I were a beginner."
Vincent Rutagangibwa,Learned a lot from this Python Tutorial. Thank you Mosh. Much appreciated
